respondent_id,choice_set,alternative,alternative_name,product_type,sugar_content,health_label,price,choice,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q27,q28,q29,q18,q19,q20,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41,q42,q43,q44,q45,q46,q47,q48,q49,gender,age,income,education,diabetes,family_diabetes,sugar_substitute_usage,age_std,income_continuous,income_std,education_level
1,1,1,제품 A,알반당,알반당,1.0,2500.0,1,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,1,2,제품 B,무설탕,무설탕,0.0,2000.0,0,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,1,3,구매안함,,,,,0,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,2,1,제품 A,알반당,알반당,0.0,3000.0,0,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,2,2,제품 B,무설탕,무설탕,1.0,2500.0,1,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,2,3,구매안함,,,,,0,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,3,1,제품 A,알반당,무설탕,0.0,2000.0,1,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,3,2,제품 B,무설탕,무설탕,1.0,3000.0,0,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,3,3,구매안함,,,,,0,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
1,4,1,제품 A,알반당,알반당,1.0,2000.0,1,4,4,3,3,4,3,4,3,3,4,4,2,4,4,4,3,3,4,5,4,5,4,5,2,5,5,4,4,3,4,5,4,5,5,3,1,5,2,0,32,4,1,2,2,3,-0.8363090263213633,8000.0,0.46269746202207385,1
